State	1995_Deaths	1995_Births	1995_IMR	1996_Deaths	1996_Births	1996_IMR	1997_Deaths	1997_Births	1997_IMR	1998_Deaths	1998_Births	1998_IMR	1999_Deaths	1999_Births	1999_IMR	2000_Deaths	2000_Births	2000_IMR	2001_Deaths	2001_Births	2001_IMR	2002_Deaths	2002_Births	2002_IMR	2003_Deaths	2003_Births	2003_IMR	2004_Deaths	2004_Births	2004_IMR	2005_Deaths	2005_Births	2005_IMR	2006_Deaths	2006_Births	2006_IMR	2007_Deaths	2007_Births	2007_IMR	2008_Deaths	2008_Births	2008_IMR	2009_Deaths	2009_Births	2009_IMR	2010_Deaths	2010_Births	2010_IMR	2011_Deaths	2011_Births	2011_IMR	2012_Deaths	2012_Births	2012_IMR	2013_Deaths	2013_Births	2013_IMR	2014_Deaths	2014_Births	2014_IMR
Georgia	1,072	112,282	9.55	1,059	114,043	9.29	1,009	118,221	8.53	1,027	122,368	8.39	1039	126717	8.199373407	1,121	132,644	8.45	1,142	133,526	8.55	1,195	133,301	8.96	1,152	135,980	8	1,184	138,849	8.53	1,148.00	142,200.00	8.07	1,200	148,633	8.07	1,210	151,137	8.01	1,171.00	146,603.00	7.99	1,036.00	141,377.00	7.33	849.00	133,947.00	6.34	908.00	132,409.00	6.86	812.00	130,280.00	6.23	899	128,748	6.98	976	130,946	7.453454096
Hawaii	105	18,595	5.65	108	18,401	5.87	116	17,393	6.67	121	17,583	6.88	121	17038	7.101772509	142	17,551	8.09	103	17,072	6.03	130	17,477	7.44	138	18,100	8	106	18,281	5.80	118.00	17,924.00	6.58	111	18,983	5.85	127	19,134	6.64	110.00	19,484.00	5.65	112.00	18,887.00	5.93	118.00	18,988.00	6.21	100.00	18,956.00	5.28	92.00	18,980.00	4.85	121	18,987	6.37	83	18,550	4.474393531
Idaho	111	18,035	6.15	134	18,625	7.19	122	18,582	6.57	139	19,391	7.17	133	19872	6.692834138	154	20,366	7.56	130	20,688	6.28	127	20,970	6.06	137	21,800	6	137	22,532	6.08	138.00	23,062.00	5.98	165	24,184	6.82	171	25,019	6.83	144.00	25,149.00	5.73	130.00	23,737.00	5.48	111.00	23,198.00	4.78	113.00	22,305.00	5.07	125.00	22,963.00	5.44	126	22,383	5.63	125	22,876	5.464242
Illinois	1,740	185,812	9.36	1,581	183,180	8.63	1,523	180,803	8.42	1,538	182,588	8.42	1554	182068	8.535272536	1,569	185,038	8.48	1,405	184,064	7.63	1,334	180,622	7.39	1,406	182,495	8	1,357	180,778	7.51	1,322.00	179,020.00	7.38	1,317	180,573	7.29	1,229	180,836	6.80	1,273.00	176,797.00	7.20	1,185.00	171,163.00	6.92	1,130.00	165,200.00	6.84	1,058.00	161,312.00	6.56	1,036.00	159,160.00	6.51	937	156,931	5.97	1,045	158,556	6.59073135
Indiana	695	82,835	8.39	726	83,513	8.69	676	83,436	8.10	643	85,122	7.55	695	86031	8.078483337	683	87,699	7.79	652	86,459	7.54	660	85,086	7.76	665	86,434	8	687	87,142	7.88	701.00	87,193.00	8.04	701	88,632	7.91	681	89,864	7.58	607.00	88,742.00	6.84	678.00	86,673.00	7.82	640.00	83,940.00	7.62	638.00	83,701.00	7.62	558.00	83,227.00	6.70	602	83,102	7.24	595	84,080	7.07659372
Iowa	304	36,810	8.26	260	37,139	7.00	224	36,659	6.11	242	37,282	6.49	213	37558	5.6712285	246	38,266	6.43	213	37,620	5.66	200	37,559	5.32	217	38,174	6	195	38,438	5.07	214.00	39,311.00	5.44	208	40,607	5.12	224	40,886	5.48	229.00	40,224.00	5.69	183.00	39,701.00	4.61	188.00	38,719.00	4.86	181.00	38,214.00	4.74	206.00	38,702.00	5.32	166	39,094	4.25	191	39,687	4.812659057
Kansas	256	37,201	6.88	301	36,651	8.21	277	37,289	7.43	271	38,422	7.05	286	38782	7.374555206	260	39,666	6.55	289	38,869	7.44	282	39,412	7.16	262	39,476	7	291	39,669	7.34	294.00	39,888.00	7.37	293	40,968	7.15	336	42,004	8.00	307.00	41,833.00	7.34	294.00	41,396.00	7.10	252.00	40,649.00	6.20	247.00	39,642.00	6.23	254.00	40,341.00	6.30	252	38,839	6.49	247	39,223	6.297325549
Kentucky	395	52,377	7.54	389	52,706	7.38	378	53,203	7.10	410	54,329	7.55	405	54403	7.444442402	398	56,031	7.10	322	54,659	5.89	389	54,234	7.17	376	55,238	7	380	55,720	6.82	380.00	56,444.00	6.73	438	58,250	7.52	397	59,368	6.69	404.00	58,376.00	6.92	393.00	57,551.00	6.83	380.00	55,784.00	6.81	356.00	55,370.00	6.43	401.00	55,758.00	7.19	356	55,686	6.39	398	56,170	7.0856329
Louisiana	647	65,641	9.86	586	65,204	8.99	624	66,025	9.45	609	66,888	9.10	623	67136	9.279671115	613	67,905	9.03	651	65,353	9.96	668	64,880	10.30	600	65,047	9	674	65,370	10.31	600.00	60,937.00	9.85	631	63,378	9.96	608	66,301	9.17	590.00	65,270.00	9.04	573.00	64,973.00	8.82	471.00	62,379.00	7.55	509.00	61,888.00	8.22	509.00	62,642.00	8.13	549	63,201	8.69	483	64,497	7.488720406
Maine	89	13,896	6.40	60	13,774	4.36	68	13,669	4.97	90	13,733	6.55	67	13616	4.920681551	66	13,603	4.85	85	13,759	6.18	58	13,559	4.28	70	13,855	5	79	13,944	5.67	97.00	14,112.00	6.87	89	14,151	6.29	90	14,120	6.37	74.00	13,609.00	5.44	77.00	13,470.00	5.72	70.00	12,970.00	5.40	85.00	12,704.00	6.69	89.00	12,798.00	6.95	91	12,776	7.12	85	12,698	6.693967554
Maryland	642	72,396	8.87	602	71,533	8.42	614	70,215	8.74	616	71,972	8.56	604	71967	8.392735559	558	74,318	7.51	591	73,218	8.07	555	73,323	7.57	617	74,930	8	631	74,628	8.46	547.00	74,980.00	7.30	616	77,494	7.95	626	78,095	8.02	615.00	77,289.00	7.96	542.00	75,059.00	7.22	504.00	73,801.00	6.83	498.00	73,093.00	6.81	463.00	72,883.00	6.35	477	71,953	6.63	478	73,921	6.466362739
Massachusetts	423	81,648	5.18	403	80,276	5.02	417	80,364	5.19	423	81,411	5.20	420	80939	5.189093021	376	81,614	4.61	404	81,079	4.98	391	80,646	4.85	381	80,184	5	377	78,484	4.80	394.00	76,866.00	5.13	377	77,677	4.85	385	77,967	4.94	388.00	77,022.00	5.04	382.00	75,016.00	5.09	320.00	72,865.00	4.39	311.00	73,166.00	4.25	305.00	72,439.00	4.21	300	71,788	4.18	315	71,908	4.38059743
Michigan	1,111	134,642	8.25	1,083	133,387	8.12	1,094	133,714	8.18	1,097	133,666	8.21	1075	133607	8.045985615	1,115	136,177	8.19	1,066	133,431	7.99	1,056	129,968	8.13	1,124	131,100	9	983	129,776	7.57	1,007.00	127,706.00	7.89	935	127,483	7.33	994	125,261	7.94	896.00	121,127.00	7.40	892.00	117,294.00	7.60	816.00	114,531.00	7.12	746.00	114,008.00	6.54	784.00	113,091.00	6.93	800	113,489	7.05	745	114,375	6.513661202
Minnesota	429	63,263	6.78	371	63,700	5.82	384	64,499	5.95	385	65,202	5.90	408	65970	6.184629377	380	67,604	5.62	365	67,562	5.40	363	68,025	5.34	324	70,050	5	326	70,624	4.62	361.00	70,919.00	5.09	381	73,525	5.18	410	73,735	5.56	429.00	72,421.00	5.92	324.00	70,646.00	4.59	312.00	68,610.00	4.55	325.00	68,409.00	4.75	345.00	68,772.00	5.02	352	69,159	5.09	352	69,904	5.035477226
Mississippi	429	41,344	10.38	448	40,987	10.93	439	41,533	10.57	434	42,939	10.11	431	42684	10.09746041	469	44,075	10.64	445	42,282	10.52	423	41,518	10.19	460	42,380	11	424	42,827	9.90	486.00	42,395.00	11.46	485	46,056	10.53	464	46,491	9.98	447.00	44,947.00	9.95	433.00	42,901.00	10.09	385.00	40,036.00	9.62	368.00	39,860.00	9.23	344.00	38,669.00	8.90	371	38,634	9.60	319	38,736	8.235233375
Missouri	538	73,028	7.37	560	73,832	7.58	558	74,037	7.54	580	75,358	7.70	579	75432	7.675787464	550	76,463	7.19	554	75,468	7.34	638	75,251	8.48	609	77,045	8	582	77,765	7.48	591.00	78,618.00	7.52	606	81,388	7.45	608	81,930	7.42	578.00	80,963.00	7.14	558.00	78,905.00	7.07	505.00	76,759.00	6.58	482.00	76,117.00	6.33	498.00	75,446.00	6.60	491	75,296	6.52	457	75,360	6.064225053
Montana	79	11,142	7.09	74	10,856	6.82	74	10,849	6.82	83	10,795	7.69	71	10785	6.583217432	66	10,957	6.02	80	10,970	7.29	83	11,049	7.51	82	11,422	7	53	11,519	4.60	84.00	11,583.00	7.25	75	12,508	6.00	78	12,439	6.27	90.00	12,594.00	7.15	76.00	12,257.00	6.20	72.00	12,060.00	5.97	72.00	12,069.00	5.97	72.00	12,118.00	5.94	69	12,377	5.57	68	12,432	5.46975547
Nebraska	173	23,243	7.44	202	23,286	8.67	176	23,319	7.55	172	23,534	7.31	158	23907	6.608942987	177	24,646	7.18	168	24,820	6.77	178	25,383	7.01	142	25,917	5	172	26,332	6.53	148.00	26,145.00	5.66	148	26,727	5.54	182	26,934	6.76	148.00	26,989.00	5.48	145.00	26,936.00	5.38	136.00	25,918.00	5.25	144.00	25,720.00	5.60	121.00	25,942.00	4.66	136	26,095	5.21	136	26,794	5.075763231
Nevada	144	25,056	5.75	160	26,125	6.12	177	26,911	6.58	205	28,699	7.14	192	29362	6.539064096	199	30,829	6.45	176	31,382	5.61	198	32,571	6.08	192	33,647	6	219	35,200	6.22	211.00	37,268.00	5.66	265	40,027	6.62	259	41,181	6.29	212.00	39,506.00	5.37	219.00	37,612.00	5.82	198.00	35,934.00	5.51	201.00	35,296.00	5.69	172.00	34,911.00	4.93	186	35,030	5.31	196	35,861	5.465547531
